keys;en;ro;de
homeWelcome;Hi;Bună;Hallo
navigationStore;Store;Magazin;Markt
storeCategoryGame;Game;Joc;Spiele
storeCategoryMovie;Movie;Film;Filme
storeCategorySeries;Series;Serial;Serie
storeCategoryExclusive;Exclusive;Exclusiv;Exklusive
storeObtain;Obtain;Obține;Laden
navigationBack;Back;Înapoi;Zurück
navigationNext;Next;Înainte;Weiter
navigationDone;Done;Gata;Fertig
navigationSettings;Settings;Configurări;Einstellungen
hermesHint;Hermes account settings;Setările contului Hermes;Konto-Einstellungen
settingsAppearance;Appearance;Aparență;Aussehen
settingsAppearanceLight;Light;Luminos;Hell
settingsAppearanceDark;Dark;Întunecat;Dunkel
settingsGeneral;General;General;Allgemein
settingsGeneralInfo;Information;Informații;Info
settingsGeneralUpdates;Updates;Actualizări;Aktualisierungen
settingsNotifications;Notifications;Notificări;Mitteilungen
hermesProfileDetails;Profile Details;Detalii Profil;Profil Info
hermesSecurity;Password and Security;Parolă și Securitate;Passwort & Privatsphäre 
hermesLogout;Logout;Deconectare;Ausloggen
hermesLogin;Login;Autentificare;Einloggen
hermesNoAccount;Don't have an account? Create one!;Nu ai cont? Crează unul!;Hast du kein Account? Erstelle jetzt eins!
hermesYesAccount;Have an account already? Login!;Ai cont deja? Conectează-te!;Hast du schon ein Account? Logge dich ein!
generalError;Error;Eroare;Fehler
generalEmail;Email;Email;Email
generalPassword;Password;Parolă;Passwort
generalName;Name;Nume;Name
setupNameTitle;What's your name?;Cum te numești?;Wie ist dein Name?
setupNameSubtitle;This will personalize your account later.;Acesta îți va personaliza contul mai târziu!;Das wird dein Konto später bearbeiten!
generalApply;Apply;Aplică;Wählen
setupProfilePhotoTitle;Show us how beautiful you are!;Arată-ne cât ești de frumos!;Zeige uns wie schön du bist und wähle dein Profilbild!
setupProfilePhotoSubtitle;Upload a profile picture to suit your needs!;Încarcă o imagine de profil pentru a se potrivi nevoilor tale!;Probiere ein Profilbild um dein Account schöner zu gestalten!
setupProfilePhotoButton;Choose image;Alege imagine;Profilbild auswählen
setupProfilePhotoEdit;Edit image;Editare imagine;Profilbild bearbeiten
hermesReAuthTitle;Enter your password;Reintroduceți parola;Passwort nochmal eingeben
hermesReAuthSubtitle;For authorizing this settings, please re-enter your password!;Pentru a autoriza această setare, vă rugăm reintroduceți-vă parola!;Um diese Einstellung zu bestätigen, bitte geben Sie Ihr Passwort nochmal ein!
hermesChangeEmailTitle;Change email;Schimbă emailul;Email wechseln
hermesChangeEmailSubtitle;Enter a valid email, you can reset your password if you forgot with it.;Introdu un email valid, veți putea reseta parola în caz că nu o știți cu ajutorul acestuia!;Geben Sie eine gültige E-Mail Adresse ein. Sie werden es brauchen falls Sie ihr Passwort vergessen!
hermesChangePasswordTitle;Choose a new password;Creați o parolă nouă;Passwort wechseln
hermesChangePasswordSubtitle;Your password needs to have minimum 6 characters!;Parola dumneavoastră trebuie să aibă minimum 6 caractere!;Ihr Passwort muss mindestens 6 Buchstaben haben!
hermesDestroyTitle;Delete account;Șterge contul;Account löschen
hermesDestroySubtitle;Are you sure you want to delete your accont? This action is irreversible!;Ești sigur că dorești sa îți ștergi contul? Această acțiune este ireversibilă!;Sind Sie sicher dass Sie Ihren Account löschen möchten? Sie können das dann nicht mehr abbrechen.
hermesDestroyButton;DELETE ACCOUNT;ȘTERGE CONTUL;ACCOUNT LÖSCHEN
generalProfilePhoto;Profile Photo;Fotografie de Profil;Profilbild
hermesChangePhotoTitle;Select a picture;Selectează o imagine;Foto auswählen
hermesChangePhotoSubtitle;This photo will be your profile picture.;Această fotografie va fi imaginea de profil.;Dieses Foto wird dein Profilbild sein.
navigationHome;Home;Acasă;Startseite
generalBalance;Balance;Balanță;Münzen
storeApps;Apps;Aplicații;Apps
storeGames;Games;Jocuri;Spiele
storeMovies;Movies;Filme;Filme
storeExclusive;Exclusive;Exclusiv;Exklusive Apps
infoName;Name;Nume;Name
infoVersion;Version;Versiune;Version
infoCode;Code;Cod;Code
infoPackage;Package;Pachet;Packung
infoDevice;Device;Dispozitiv;Gerät
updateNotice;Check for updates in Google Play;Căutați actualizări în Google Play;Suchen nach Updates in Google Play
errorBadTyping;Check typo;Greșeală de scriere;Rechtshreibfehler überprüfen
generalRetry;Retry;Reîncearcă;Nochmal versuchen
storeSheetTitle;- Options;- Opțiuni;Optionen
storeSheetSubtitle;Choose an option from the ones below;Alegeți o opțiune din cele de mai jos;- Wählen Sie eine Option von der runter-aufgezählten
generalReport;Report a problem;Raportează o problemă;Ein Fehler melden
generalCancel;Cancel;Anulează;Abbrechen
generalPreview;Preview;Previzualizare;Vorschau
hermesCreateAccount;Create account;Creează cont;Erstelle ein Konto
errorMaintenanceTitle;Maintenance break!;Mentenanță în curs!;Wartungsarbeiten
errorMaintenanceSubtitle;The servers are under maintenance. Please try again later!;Serverele sunt sub mentenanță. Vă rugăm să încercați mai târziu!;Die Server werden derzeit gewartet. Bitte versuche es später erneut.
errorBannedTitle;You have been banned!;Ai fost banat!;Vom Spiel gebannt!
errorBannedSubtitle;Your account has been permanently banned! In case you think this is a mistake, use the appeal button.;Contul tău a fost banat permanent. În cazul în care crezi că e o greșeală, apasă butonul contestă.;
errorBannedAppeal;Appeal;Contestă;Anzeige
